"","station_year","fox","cat","potoroo_ln","bandicoot_sb","station","date_end","date_start","year","latitude","longitude","region","data_source","survey_duration","block","X_EVCNAME","XGROUPNAME","evc_mod","EFG_NAME","efg_mod","tsf","wetness","ruggedness","elevation","npp","bio1_temperature","bio12_rainfall","bio32_moisture","dist_nnv","dist_farmland","dist_plantation","foxbaits","treatment","rainfall_actual_prior_18months","rainfall_median_prior_18months","rain_diff_percent"
"11","a01_2015",1,0,0,0,"a01","2015-12-15","2015-11-12",2015,-37.9822949772723,141.505222628494,"glenelg","glenelg_ark",33,"annya","Damp Sands Herb-rich Woodland","Herb-rich Woodlands","Herb-rich Woodlands","Forby Forest","Forby Forest",76,7.33782720565796,0.0331430435180664,90.0882568359375,5.16216564178467,13.7949,694.622,0.999,166.915350060468,244.908000995596,393.371724937816,0,"non-treatment",1023.1275,1345.9425,-23.9891365676952
"12","a01_2016",0,0,0,0,"a01","2016-12-23","2016-11-22",2016,-37.9822949772723,141.505222628494,"glenelg","glenelg_ark",32,"annya","Damp Sands Herb-rich Woodland","Herb-rich Woodlands","Herb-rich Woodlands","Forby Forest","Forby Forest",77,7.33782720565796,0.0331430435180664,90.0882568359375,5.16216564178467,13.7949,694.622,0.999,166.915350060468,244.908000995596,393.371724937816,0,"non-treatment",1222.3,1329.90872093023,-8.09362474720142
"13","a01_2017",1,0,0,0,"a01","2017-12-18","2017-11-15",2017,-37.9822949772723,141.505222628494,"glenelg","glenelg_ark",34,"annya","Damp Sands Herb-rich Woodland","Herb-rich Woodlands","Herb-rich Woodlands","Forby Forest","Forby Forest",78,7.33782720565796,0.0331430435180664,90.0882568359375,5.16216564178467,13.7949,694.622,0.999,166.915350060468,244.908000995596,393.371724937816,0,"non-treatment",1523.61086956522,1338.52608695652,13.8290402390867
"14","a01_2018",1,0,0,0,"a01","2018-12-21","2018-11-13",2018,-37.9822949772723,141.505222628494,"glenelg","glenelg_ark",39,"annya","Damp Sands Herb-rich Woodland","Herb-rich Woodlands","Herb-rich Woodlands","Forby Forest","Forby Forest",79,7.33782720565796,0.0331430435180664,90.0882568359375,5.16216564178467,13.7949,694.622,0.999,166.915350060468,244.908000995596,393.371724937816,0,"non-treatment",1216.18526315789,1340.86473684211,-9.28853162995075
"15","a01_2019",1,0,0,0,"a01","2019-12-16","2019-10-21",2019,-37.9822949772723,141.505222628494,"glenelg","glenelg_ark",57,"annya","Damp Sands Herb-rich Woodland","Herb-rich Woodlands","Herb-rich Woodlands","Forby Forest","Forby Forest",80,7.33782720565796,0.0331430435180664,90.0882568359375,5.16216564178467,13.7949,694.622,0.999,166.915350060468,244.908000995596,393.371724937816,0,"non-treatment",1174.22777777778,1349.04444444444,-12.957520707328
"16","A010_2018",0,1,0,0,"A010","2018-04-10","2018-01-31",2018,-37.99154299,141.580432,"glenelg","matt",69,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,17.7350311279297,0.0724506378173828,130.493194580078,5.18138933181763,13.5484,704.2413,0.9993,1631.37478015385,1103.38647121002,3661.03448307198,0,"non-treatment",1150.45,927.384210526316,23.9863507065522
"17","A011_2018",0,0,0,1,"A011","2018-04-10","2018-01-29",2018,-37.99126497,141.586697,"glenelg","matt",71,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,9.24658393859863,0.183338165283203,133.199005126953,5.18138933181763,13.5366,702.1619,0.9992,1659.69833483527,1313.47839123263,4057.34346442419,0,"non-treatment",1138.475,924.032142857143,23.0913387362322
"18","A012_2018",0,0,0,0,"A012","2018-04-10","2018-01-29",2018,-37.99307504,141.591952,"glenelg","matt",71,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,11.6686916351318,0.00087738037109375,140.001205444336,5.18138933181763,13.5366,702.1619,0.9992,2014.53251786477,1742.19175590922,4306.77979037764,0,"non-treatment",1151.19459459459,927.954054054054,23.9444764561963
"19","A013_2018",1,0,0,0,"A013","2018-04-10","2018-01-29",2018,-37.99291302,141.597389,"glenelg","matt",71,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,8.29122734069824,0.21812629699707,148.088592529297,4.38373184204102,13.4774,706.5007,0.9994,2245.49998407772,2067.41406236604,4028.82903963469,0,"non-treatment",1149.43384615385,929.407692307692,23.5655682292646
"20","A014_2018",1,1,0,1,"A014","2018-04-10","2018-01-29",2018,-37.99309499,141.603625,"glenelg","matt",71,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,8.27113056182861,0.149324417114258,138.263900756836,4.38373184204102,13.5068,698.8161,0.9991,2382.277918245,2371.23268677659,3482.35023662355,0,"non-treatment",1155.64869565217,931.128695652174,24.0255007954546
"21","A015_2018",0,0,0,0,"A015","2018-04-10","2018-01-29",2018,-37.99295803,141.609231,"glenelg","matt",71,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,9.41105270385742,0.143251419067383,131.157897949219,4.38373184204102,13.5068,698.8161,0.9991,1971.82112203756,2149.290121732,2996.25472286748,0,"non-treatment",1171.78285714286,938.014285714285,24.8721996974081
"22","A017_2018",1,0,0,0,"A017","2018-04-10","2018-01-29",2018,-37.99265401,141.621223,"glenelg","matt",71,"annya","Damp Sands Herb-rich Woodland","Herb-rich Woodlands","Herb-rich Woodlands","Forby Forest","Forby Forest",79,7.0621862411499,0.441074371337891,117.250801086426,4.06310224533081,13.61,681.6337,0.9984,1300.85843829231,1470.72569275909,1967.70265263823,0,"non-treatment",1125.31351351351,915.502702702702,22.8080625198437
"23","A018_2018",1,0,0,1,"A018","2018-04-12","2018-01-28",2018,-37.99734897,141.564267,"glenelg","matt",74,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,9.31411170959473,0.428773880004883,143.05029296875,5.11157941818237,13.4926,717.8824,0.9997,1158.65171798338,1770.57837660573,2120.9107651586,0,"non-treatment",1146.9186440678,927.037288135593,23.6270601976433
"24","A019_2018",0,0,0,0,"A019","2018-04-12","2018-01-28",2018,-37.99783898,141.56919,"glenelg","matt",74,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,9.68677520751953,0.168939590454102,139.758499145508,5.11157941818237,13.4926,717.8824,0.9997,1351.93187047262,1723.04134437053,2535.41876762815,0,"non-treatment",1090.63157894737,899.115789473684,21.2283898982181
"25","a02_2013",1,0,0,0,"a02","2013-12-11","2013-11-07",2013,-37.9823485526657,141.515721836208,"glenelg","glenelg_ark",36,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",74,7.49569988250732,0.13284969329834,100.603698730469,5.16216564178467,13.7593,695.7944,0.9991,1088.90132420934,1076.49777290838,1120.57169231971,0,"non-treatment",1445.61428571429,1352.45,6.88466805896647
"26","a02_2014",1,0,0,0,"a02","2014-12-12","2014-11-05",2014,-37.9823485526657,141.515721836208,"glenelg","glenelg_ark",36,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",75,7.49569988250732,0.13284969329834,100.603698730469,5.16216564178467,13.7593,695.7944,0.9991,1088.90132420934,1076.49777290838,1120.57169231971,0,"non-treatment",1432.80526315789,1353.10657894737,5.88130889475933
"27","a02_2015",1,0,0,0,"a02","2015-12-15","2015-11-12",2015,-37.9823485526657,141.515721836208,"glenelg","glenelg_ark",33,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",76,7.49569988250732,0.13284969329834,100.603698730469,5.16216564178467,13.7593,695.7944,0.9991,1088.90132420934,1076.49777290838,1120.57169231971,0,"non-treatment",1021.88064516129,1346.15161290323,-24.0940736832714
"28","a02_2016",1,0,0,0,"a02","2016-12-22","2016-11-24",2016,-37.9823485526657,141.515721836208,"glenelg","glenelg_ark",28,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",77,7.49569988250732,0.13284969329834,100.603698730469,5.16216564178467,13.7593,695.7944,0.9991,1088.90132420934,1076.49777290838,1120.57169231971,0,"non-treatment",1216.74482758621,1329.45,-8.47845390905539
"29","a02_2017",1,0,0,0,"a02","2017-12-18","2017-11-15",2017,-37.9823485526657,141.515721836208,"glenelg","glenelg_ark",34,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",78,7.49569988250732,0.13284969329834,100.603698730469,5.16216564178467,13.7593,695.7944,0.9991,1088.90132420934,1076.49777290838,1120.57169231971,0,"non-treatment",1518.45,1333.5578125,13.8655320638224
"30","a02_2018",1,0,0,0,"a02","2018-12-21","2018-11-13",2018,-37.9823485526657,141.515721836208,"glenelg","glenelg_ark",39,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,7.49569988250732,0.13284969329834,100.603698730469,5.16216564178467,13.7593,695.7944,0.9991,1088.90132420934,1076.49777290838,1120.57169231971,0,"non-treatment",1216.91555555556,1336.51333333333,-8.93446094758942
"31","a02_2019",1,0,0,0,"a02","2019-12-16","2019-10-21",2019,-37.9823485526657,141.515721836208,"glenelg","glenelg_ark",57,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",80,7.49569988250732,0.13284969329834,100.603698730469,5.16216564178467,13.7593,695.7944,0.9991,1088.90132420934,1076.49777290838,1120.57169231971,0,"non-treatment",1174.38461538462,1351.56538461538,-13.1075835581015
"32","A020_2018",0,0,0,0,"A020","2018-04-10","2018-01-27",2018,-37.99747101,141.575091,"glenelg","matt",73,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,7.95078039169312,0.125860214233398,140.115203857422,5.18138933181763,13.4677,717.7069,0.9997,1766.33631282738,1666.31304347137,3053.87026722475,0,"non-treatment",1127.85555555556,915.680555555555,23.0780495659888
"33","A022_2018",1,1,0,1,"A022","2018-04-10","2018-01-27",2018,-37.99732902,141.586598,"glenelg","matt",73,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,9.85179615020752,0.139612197875977,140.152893066406,5.18138933181763,13.4289,719.5118,0.9997,2313.21549138316,1924.55860174021,3969.79718285519,0,"non-treatment",1155.06333333333,931.971666666667,23.8400701251817
"34","A023_2018",0,0,0,0,"A023","2018-04-10","2018-01-29",2018,-37.99733698,141.59299,"glenelg","matt",71,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,8.0000524520874,0.568975448608398,155.921203613281,5.18138933181763,13.4289,719.5118,0.9997,2482.80823771881,2177.39855459884,3825.01462725487,0,"non-treatment",1125.22222222222,922.611111111111,21.811441781828
"35","A024_2018",0,0,0,0,"A024","2018-04-10","2018-01-29",2018,-37.99741502,141.59781,"glenelg","matt",71,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,10.5164070129395,0.192989349365234,154.862396240234,4.38373184204102,13.3645,725.08,0.9998,2682.36790602337,2442.89870948634,3759.85081366478,0,"non-treatment",1118.61333333333,913.426666666666,22.3803987102943
"36","A025_2018",0,0,0,0,"A025","2018-04-10","2018-01-29",2018,-37.997656,141.603846,"glenelg","matt",71,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,9.73695182800293,0.158748626708984,148.735397338867,4.38373184204102,13.4403,710.7883,0.9995,2669.91533605624,2840.49797206231,3437.29656741748,0,"non-treatment",1154.70909090909,928.736363636364,24.2342438181267
"37","A026_2018",0,0,0,1,"A026","2018-04-10","2018-01-29",2018,-37.997196,141.609323,"glenelg","matt",71,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,8.74576950073242,0.00903701782226562,140.313400268555,4.06310224533081,13.4403,710.7883,0.9995,2292.42751666103,2472.0198246558,2956.37942871027,0,"non-treatment",1153.61666666667,929.641666666667,24.0066577132935
"38","A027_2018",1,1,0,1,"A027","2018-04-10","2018-01-29",2018,-37.99689299,141.615239,"glenelg","matt",71,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,8.1336145401001,0.0278034210205078,129.894805908203,4.06310224533081,13.5459,692.9124,0.9989,1956.95854843162,2133.59886966382,2436.8449082118,0,"non-treatment",1158.89285714286,930.2,24.5156896207988
"39","A028_2018",1,0,0,1,"A028","2018-04-10","2018-01-29",2018,-37.99695401,141.62061,"glenelg","matt",71,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,9.78298950195312,0.0339527130126953,130.000106811523,4.06310224533081,13.5459,692.9124,0.9989,1769.11869669537,1934.30023921812,1965.0596983678,0,"non-treatment",1136.47222222222,921.338888888889,23.2587546616088
"40","A029_2018",0,0,1,1,"A029","2018-04-10","2018-01-29",2018,-37.997627,141.626208,"glenelg","matt",71,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,10.3695297241211,0.260726928710938,129.670196533203,4.19153308868408,13.565,686.9579,0.9987,1762.81405224189,1903.28429159009,1473.14368301921,0,"non-treatment",1152.56315789474,929.378947368421,23.9305509689218
"41","a03_2013",1,1,0,0,"a03","2013-12-13","2013-11-06",2013,-37.9846516231323,141.524825085333,"glenelg","glenelg_ark",36,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",74,6.72097492218018,0.428149223327637,110.663696289062,5.2209939956665,13.7211,697.279,0.9991,1409.55759456646,1380.61519636497,1959.911705379,0,"non-treatment",1438.39285714286,1353.29017857143,6.28343932733892
"42","a03_2014",0,0,0,0,"a03","2014-12-11","2014-11-05",2014,-37.9846516231323,141.524825085333,"glenelg","glenelg_ark",36,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",75,6.72097492218018,0.428149223327637,110.663696289062,5.2209939956665,13.7211,697.279,0.9991,1409.55759456646,1380.61519636497,1959.911705379,0,"non-treatment",1436.57625,1355.66875,5.95806110023018
"43","a03_2015",0,0,0,0,"a03","2015-12-15","2015-11-12",2015,-37.9846516231323,141.524825085333,"glenelg","glenelg_ark",33,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",76,6.72097492218018,0.428149223327637,110.663696289062,5.2209939956665,13.7211,697.279,0.9991,1409.55759456646,1380.61519636497,1959.911705379,0,"non-treatment",1020.13880597015,1344.09253731343,-24.1056982283844
"44","a03_2016",0,0,0,0,"a03","2016-12-23","2016-11-22",2016,-37.9846516231323,141.524825085333,"glenelg","glenelg_ark",31,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",77,6.72097492218018,0.428149223327637,110.663696289062,5.2209939956665,13.7211,697.279,0.9991,1409.55759456646,1380.61519636497,1959.911705379,0,"non-treatment",1220.14358974359,1330.02948717949,-8.26467741268829
"45","a03_2017",0,0,0,0,"a03","2017-12-18","2017-11-15",2017,-37.9846516231323,141.524825085333,"glenelg","glenelg_ark",34,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",78,6.72097492218018,0.428149223327637,110.663696289062,5.2209939956665,13.7211,697.279,0.9991,1409.55759456646,1380.61519636497,1959.911705379,0,"non-treatment",1521.61206896552,1337.8474137931,13.7351060812442
"46","a03_2018",0,0,0,0,"a03","2018-12-21","2018-11-11",2018,-37.9846516231323,141.524825085333,"glenelg","glenelg_ark",40,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,6.72097492218018,0.428149223327637,110.663696289062,5.2209939956665,13.7211,697.279,0.9991,1409.55759456646,1380.61519636497,1959.911705379,0,"non-treatment",1218.75263157895,1341.1201754386,-9.1115662831812
"47","a03_2019",0,0,0,0,"a03","2019-11-20","2019-10-21",2019,-37.9846516231323,141.524825085333,"glenelg","glenelg_ark",31,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",80,6.72097492218018,0.428149223327637,110.663696289062,5.2209939956665,13.7211,697.279,0.9991,1409.55759456646,1380.61519636497,1959.911705379,0,"non-treatment",1188.6,1373.94423076923,-13.4879687295742
"48","A031_2018",1,0,0,0,"A031","2018-04-10","2018-01-29",2018,-37.99726398,141.637854,"glenelg","matt",71,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,7.96434736251831,0.0554122924804688,140.686599731445,4.13186740875244,13.534,687.5776,0.9987,1154.89702104334,1859.11977638732,450.328014437234,0,"non-treatment",1131.14117647059,916.529411764706,23.2955027341017
"49","A032_2018",1,0,0,1,"A032","2018-04-12","2018-01-28",2018,-38.00229496,141.564029,"glenelg","matt",74,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,9.85456562042236,0.226898193359375,141.446197509766,5.11157941818237,13.4926,717.8824,0.9997,681.057996679796,2298.59726154133,2049.82589745655,0,"non-treatment",1152.0393442623,933.880327868852,23.2401531121605
"50","A033_2018",1,0,0,0,"A033","2018-04-12","2018-01-27",2018,-38.00154604,141.56938,"glenelg","matt",75,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,8.62547016143799,0.0820655822753906,148.203796386719,5.11157941818237,13.4926,717.8824,0.9997,1096.54245986181,2131.12749918632,2519.24443007651,0,"non-treatment",1162.34074074074,935.14074074074,24.2207599541903
"51","A034_2018",1,0,0,1,"A034","2018-04-10","2018-01-27",2018,-38.00184301,141.575451,"glenelg","matt",73,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,9.74926662445068,0.128072738647461,146.197906494141,5.18138933181763,13.4677,717.7069,0.9997,1560.02137127158,2151.48595018999,3052.64587992963,0,"non-treatment",1132.16315789474,921.621052631579,22.7308375951907
"52","A035_2018",1,1,0,0,"A035","2018-04-10","2018-01-27",2018,-38.00229597,141.581012,"glenelg","matt",73,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,8.89835453033447,0.222564697265625,146.144500732422,5.18138933181763,13.4677,717.7069,0.9997,2010.35761219335,2257.63009871198,3541.40383116656,0,"non-treatment",1115.24081632653,910.177551020408,22.4365521534892
"53","A036_2018",0,0,0,0,"A036","2018-04-10","2018-01-27",2018,-38.00185299,141.586463,"glenelg","matt",73,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,7.39877796173096,0.117424011230469,150.763305664062,5.18138933181763,13.4289,719.5118,0.9997,2487.08312991195,2364.35604262406,3502.56166766438,0,"non-treatment",1153.54,931.94,23.6522042712393
"54","A037_2018",0,0,0,0,"A037","2018-04-10","2018-01-27",2018,-38.00169096,141.591965,"glenelg","matt",73,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,8.0870304107666,0.0696239471435547,160.49560546875,5.18138933181763,13.4289,719.5118,0.9997,2901.98191512914,2554.01533780758,3372.01831463552,0,"non-treatment",1132.09333333333,920.237777777778,22.91262992018
"55","A038_2018",1,0,0,1,"A038","2018-04-10","2018-01-29",2018,-38.00143104,141.597566,"glenelg","matt",71,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,9.85334205627441,0.0212268829345703,159.908599853516,4.38373184204102,13.3645,725.08,0.9998,2871.98196887852,2779.38182191299,3317.62698507181,0,"non-treatment",1136.52432432432,920.683783783784,23.3583651659895
"56","A039_2018",1,0,0,0,"A039","2018-04-10","2018-01-29",2018,-38.00203001,141.60358,"glenelg","matt",71,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,8.4710168838501,0.350824356079102,156.57780456543,4.06310224533081,13.4403,710.7883,0.9995,2459.01779460442,3162.69209807002,3237.44926652505,0,"non-treatment",1159.38823529412,931.029411764706,24.4618978178819
"57","a04_2013",1,0,0,0,"a04","2013-12-11","2013-11-06",2013,-37.9823929375029,141.532062534283,"glenelg","glenelg_ark",36,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",74,6.89247274398804,0.455224990844727,117.626403808594,5.2209939956665,13.7211,697.279,0.9991,1755.50345950584,1664.72019208795,2119.57622346698,0,"non-treatment",1436.09433962264,1351.08726415094,6.28484976288665
"58","a04_2014",1,0,0,0,"a04","2014-12-11","2014-11-09",2014,-37.9823929375029,141.532062534283,"glenelg","glenelg_ark",36,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",75,6.89247274398804,0.455224990844727,117.626403808594,5.2209939956665,13.7211,697.279,0.9991,1755.50345950584,1664.72019208795,2119.57622346698,0,"non-treatment",1418.55555555556,1346.04777777778,5.38683331695742
"59","a04_2015",1,0,0,0,"a04","2015-12-15","2015-11-13",2015,-37.9823929375029,141.532062534283,"glenelg","glenelg_ark",33,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",76,6.89247274398804,0.455224990844727,117.626403808594,5.2209939956665,13.7211,697.279,0.9991,1755.50345950584,1664.72019208795,2119.57622346698,0,"non-treatment",1020.088,1343.88,-24.0979698163544
"60","a04_2016",0,0,0,0,"a04","2016-12-22","2016-11-23",2016,-37.9823929375029,141.532062534283,"glenelg","glenelg_ark",30,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",77,6.89247274398804,0.455224990844727,117.626403808594,5.2209939956665,13.7211,697.279,0.9991,1755.50345950584,1664.72019208795,2119.57622346698,0,"non-treatment",1226.5,1332.20483870968,-7.93833466338476
"61","a04_2017",0,0,0,0,"a04","2017-12-18","2017-11-15",2017,-37.9823929375029,141.532062534283,"glenelg","glenelg_ark",34,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",78,6.89247274398804,0.455224990844727,117.626403808594,5.2209939956665,13.7211,697.279,0.9991,1755.50345950584,1664.72019208795,2119.57622346698,0,"non-treatment",1521.45,1338.80294117647,13.644177457102
"62","a04_2018",1,0,0,0,"a04","2018-12-21","2018-11-12",2018,-37.9823929375029,141.532062534283,"glenelg","glenelg_ark",40,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,6.89247274398804,0.455224990844727,117.626403808594,5.2209939956665,13.7211,697.279,0.9991,1755.50345950584,1664.72019208795,2119.57622346698,0,"non-treatment",1215.44533333333,1340.72333333333,-9.33129054031854
